,pickup_latlon,dropoff_latlon,trips_per_day,trip_distance_kms
204,"(41.902788048, -87.62614559)","(41.97907082, -87.903039661)",2,31.952
205,"(41.849246754, -87.624135298)","(41.870607372, -87.622172937)",2,2.72
206,"(41.870607372, -87.622172937)","(41.785998518, -87.750934289)",2,18.288
207,"(41.899155613, -87.626210532)","(41.885300022, -87.642808466)",2,0.16000000000000006
208,"(41.899155613, -87.626210532)","(41.879255084, -87.642648998)",2,0.0
209,"(41.907520075, -87.6266589)","(41.899155613, -87.626210532)",2,1.6
210,"(41.892507781, -87.626214906)","(41.870607372, -87.622172937)",2,0.0
211,"(41.785998518, -87.750934289)","(41.849246754, -87.624135298)",2,15.456
212,"(41.849246754, -87.624135298)","(41.880994471, -87.632746489)",2,4.32
213,"(41.899602111, -87.633308037)","(41.9867118, -87.663416405)",2,10.832
214,"(41.944226601, -87.655998182)","(41.9867118, -87.663416405)",2,5.744
215,"(41.899155613, -87.626210532)","(41.891971508, -87.612945414)",5,2.24
216,"(41.877406123, -87.621971652)","(41.870607372, -87.622172937)",2,1.12
217,"(41.849246754, -87.624135298)","(41.785998518, -87.750934289)",2,15.36
218,"(41.980264315, -87.913624596)","(41.985015101, -87.804532006)",2,10.240000000000002
219,"(41.891971508, -87.612945414)","(41.859349715, -87.617358006)",2,4.352
220,"(41.880994471, -87.632746489)","(41.849246754, -87.624135298)",2,5.44
221,"(41.884987192, -87.620992913)","(41.867902418, -87.642958665)",2,3.2
222,"(41.980264315, -87.913624596)","(41.794090253, -87.592310855)",2,2.4000000000000004
223,"(41.880994471, -87.632746489)","(41.949220914, -87.651970395)",2,0.0
224,"(41.880994471, -87.632746489)","(41.914616286, -87.631717366)",2,3.2960000000000003
225,"(41.879255084, -87.642648998)","(41.867902418, -87.642958665)",2,0.912
226,"(41.891971508, -87.612945414)","(41.890922026, -87.618868355)",2,0.768
227,"(41.879255084, -87.642648998)","(41.785998518, -87.750934289)",2,25.44
228,"(41.79259236, -87.769615453)","(41.901206994, -87.676355989)",2,19.727999999999998
229,"(41.96581197, -87.655878786)","(41.899602111, -87.633308037)",2,11.36
230,"(41.89321636, -87.63784421)","(41.88528132, -87.6572332)",2,0.96
231,"(41.870607372, -87.622172937)","(41.879255084, -87.642648998)",2,2.08
232,"(41.878865584, -87.625192142)","(41.947791586, -87.683834942)",2,0.0
233,"(41.899602111, -87.633308037)","(41.947791586, -87.683834942)",2,8.208
234,"(41.879255084, -87.642648998)","(41.879066994, -87.657005027)",2,1.4400000000000002
235,"(41.794090253, -87.592310855)","(41.878865584, -87.625192142)",2,12.255999999999998
236,"(41.89321636, -87.63784421)","(41.877406123, -87.621971652)",2,2.24
